# Time (s),Mass (g),Longitudinal moment of inertia (kg·m²),Drag force (N),Drag coefficient (​)
115.196,2589,NaN,25.224,NaN
115.387,2589,NaN,25.213,NaN
115.887,2589,NaN,25.365,NaN
116.009,2589,NaN,28.461,NaN
116.433,2589,NaN,27.718,NaN
116.574,2589,NaN,23.659,NaN
116.731,2589,NaN,24.979,NaN
116.849,2589,NaN,24.772,NaN
117.182,2589,NaN,25.076,NaN
117.374,2589,NaN,25.795,NaN
117.874,2589,NaN,25.673,NaN
118.126,2589,NaN,25.208,NaN
118.626,2589,NaN,25.635,NaN
118.818,2589,NaN,25.658,NaN
119.318,2589,NaN,25.552,NaN
119.585,2589,NaN,25.259,NaN
119.845,2589,NaN,25.37,NaN
120.331,2589,NaN,25.593,NaN
120.831,2589,NaN,25.169,NaN
121.331,2589,NaN,25.524,NaN
121.831,2589,NaN,25.258,NaN
122.331,2589,NaN,25.474,NaN
122.831,2589,NaN,25.348,NaN
123.331,2589,NaN,25.417,NaN
123.831,2589,NaN,25.415,NaN
124.331,2589,NaN,25.418,NaN
124.682,2589,NaN,25.488,NaN
125.182,2589,NaN,25.354,NaN
125.682,2589,NaN,25.755,NaN
125.945,2589,NaN,25.14,NaN
126.4,2589,NaN,25.291,NaN
126.9,2589,NaN,25.412,NaN
127.133,2589,NaN,26.486,NaN
127.218,2589,NaN,24.978,NaN
127.718,2589,NaN,25.086,NaN
128.002,2589,NaN,25.967,NaN
128.286,2589,NaN,25.184,NaN
128.786,2589,NaN,25.373,NaN
128.92,2589,NaN,25.546,NaN
